 
 
19-Nov-2024 22:06:29 Starting data capture:
19-Nov-2024 22:07:17,   1, LV,  332, VT,  63, ST,     , LT, 600
19-Nov-2024 22:08:30,   2, LV,  742, VT,  83, ST,     , LT, 1400
19-Nov-2024 22:09:00,   3, LV,  1078, VT,  85, ST,  1230, LT, 1920
19-Nov-2024 22:09:24,   4, LV,    5, VT,   5, ST,     , LT,    
19-Nov-2024 22:09:45,   5, LV,  236, VT,  82, ST,  390, LT,    
 
 
19-Nov-2024 22:11:36 Starting data capture:
19-Nov-2024 22:12:07,   1, LV,  890, VT,  40, ST,     , LT, 1740
19-Nov-2024 22:12:24,   2, LV,   97, VT,  97, ST,     , LT,    
 
 
21-Nov-2024 16:03:27 Starting data capture:
21-Nov-2024 16:05:04,   1, LV,   57, VT,    , ST,  150, LT,  20
 
 
25-Nov-2024 14:30:41 Starting data capture:
 
 
25-Nov-2024 14:37:18 Starting data capture:
 
 
25-Nov-2024 14:44:02 Starting data capture:
25-Nov-2024 14:45:09,   1, LV,   21, VT,   2, ST,     , LT,  40
25-Nov-2024 14:45:34,   2, LV,   49, VT,   8, ST,  120, LT,  20
25-Nov-2024 14:46:04,   3, LV,   58, VT,    , ST,   75, LT,  40
25-Nov-2024 14:46:24,   4, LV,   60, VT,    , ST,   60, LT,    
25-Nov-2024 14:46:45,   5, LV,   45, VT,    , ST,   45, LT,    
25-Nov-2024 14:47:07,   6, LV,  105, VT,    , ST,  105, LT,    
25-Nov-2024 14:47:56,   7, LV,   45, VT,    , ST,   45, LT,    
25-Nov-2024 14:48:17,   8, LV,  120, VT,    , ST,  120, LT,    
 
 
25-Nov-2024 17:17:33 Starting data capture:
 
 
25-Nov-2024 17:22:41 Starting data capture:
25-Nov-2024 17:23:21,   1, LV,  115, VT,  90, ST,     , LT, 140
 
 
26-Nov-2024 09:34:19 Starting data capture:
 
 
26-Nov-2024 09:37:18 Starting data capture:
26-Nov-2024 09:37:59,   1, LV,    0, VT,    , ST,     , LT,    
